,symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
334,FV, , ,2014-03-06,-0.011249369359721317,-0.000201306717427574,-0.008759901280764648,-0.07068076208407714,-0.009766434867902296,0.21345518310523515,-0.0004405271240138786,0.0,0.5309008953761689,-0.01061584679076566,0.0442332663080387,0.12552604825897395
335,COMT, , ,2014-10-16,0.00961344961551247,0.007141313746469091,0.012299043259508258,-0.019043938709197072,-0.1880805629457023,-0.31720013180978346,0.017729196163464467,0.011282658135997936,0.5486363403776289,0.09486418271972408,0.1440972147300763,0.1048705387995208
336,JDIV, , ,2017-11-09,0.0020039773760174295,0.0,0.004400056621126414,0.038799827004536214,0.02090596760398067,0.0680113865189691,0.001836298446631579,-6.54313703146725e-05,0.062121325193487564,0.03181465607728473,0.033509529407859784,0.10066515903205553
337,PFXF, , ,2012-07-19,-0.0024777573663542496,-0.003974164659182433,-0.00894187048316053,0.017884130315472424,0.026728507771097476,0.05002669377782687,-0.00012314868357710118,-0.01009747468921518,1.2014716455343155,0.03127704123199404,0.03445393239422234,0.2708927425674166
338,SHYD, , ,2014-01-14,-0.0007942993455627434,-0.003576949858169365,-0.001987152556384708,0.003179782745261983,0.02114976022281989,0.0432181222593635,0.006753653973081919,0.005892268619386298,0.5743394690338419,-0.001813282935986038,0.03393117249275002,0.1089695615867925
339,IHY, , ,2012-04-03,0.003529417748544983,0.00039087215937638753,-0.013287051546635564,-0.017975802588862777,-0.011614816479312173,0.11436848423206336,-0.0023835605876278976,-0.010989882650532246,1.1454046176467356,-0.01576847775574175,-0.0061478732897767285,0.1239946198235311
340,NGE, , ,2013-04-03,-0.00314862659789239,-0.0063172922676543175,-0.033480763600735264,-0.0524321485049023,-0.03158572349007771,-0.08777220757047,-0.011893288209303576,0.004337306649384587,0.9085250916086269,0.02884380149780008,0.10243071515890101,0.2498733092386627
341,JAGG, , ,2018-12-14,0.0001997267530748914,0.0017976418049510112,0.005672117716984504,0.007749433744036249,0.036515718622994076,0.09495076384315104,-0.009376596960458006,-0.021484148808655457,0.04176924454264963,0.01068002224131992,0.13970445752257277,0.23590376513033395
342,EEMD, , ,2017-11-30,-0.0036014467151739282,0.0,-0.0008033381590374367,0.0659317952013696,0.06472136666235362,-0.06268591476246099,0.0038347872873598643,-0.0017827421308744817,0.033042518811065236,0.018965435878908865,0.012660656269119608,0.04554484619428245
343,FDRR, , ,2016-09-15,0.0041757621922773325,-0.002772278253795446,0.008316834761386449,-0.003564382429485091,0.08175107530387238,0.173357508689008,0.010482843980454959,-0.003929673292906388,0.30288651269243894,-0.006223538711904508,0.08321309465791482,0.1830527425666566
344,FNDA, , ,2013-08-15,-0.0048622705733204485,-0.004478620365789943,-0.009364613711717373,0.023615477570988697,0.13533009152666775,0.17660324893433743,-0.006200027465820268,-0.0037231024467681006,0.762901860138864,0.025357291862949438,0.1115499952453487,0.19429347110944084
345,IBDN, , ,2015-03-12,-0.0025113007768571283,0.0003020720346198491,0.003322971918432005,0.013696116610398157,-0.00874653391416147,0.012497074659010954,0.00887553121858109,-0.005084606616833409,0.3782784502484453,0.016052901965703636,0.028486238346490556,-0.0382181545613145
346,WUGI, , ,2020-03-31,0.010196087407130738,-0.04390529925270581,0.020302822690843936,0.14704969228084308,0.5866460126084925,0.012497074659010954,-0.012055398734193257,-0.047192112477152603,0.04522098073088432,0.1305198372372991,0.32214465458592145,-0.0382181545613145
347,FNDF, , ,2013-08-15,-0.0011927944235344823,0.006369342768467234,-0.012738867403839893,0.03582805320661819,0.0969970773078932,0.14100495832838122,-0.006200027465820268,-0.0037231024467681006,0.762901860138864,0.025357291862949438,0.1115499952453487,0.19429347110944084
348,FSMD, , ,2019-02-28,0.0,0.0036473093036646365,-0.01947897675189003,-0.010294275593515145,0.020115045556694522,-0.0038376098690267035,-0.0016339139029406535,0.006909786662466999,-0.038027569640939785,0.014140103789449299,0.06884770351123515,0.07527784333164034
349,JEPI, , ,2020-05-21,-0.0018988088811461301,0.0031841509085404063,0.02413141119425588,0.01734261376822066,0.08837134405277203,-0.0038376098690267035,-0.004946408652472534,0.0026316900821270472,-0.09329415335992575,0.06260551034249517,0.14553118016735822,0.07527784333164034
350,HOMZ, , ,2019-03-20,-0.002805675351995607,0.014429387527800985,0.015594866600680213,0.05225087330268896,0.09145933483078861,-0.32321398942704227,-0.0026417053785767752,0.011678258465827929,-0.04812852867168005,0.028894870096000114,0.07227180001261835,-0.1571295864561152
351,SSPY, , ,2014-12-31,2.220446049250313e-16,0.0,0.0,-0.029937727167423378,0.021437948485806713,0.006075564578795323,-0.011638263980743302,-0.0008176628517636564,0.39642389415563883,-0.016518082078563312,0.03016840296971357,0.012721130132776537
352,WDIV, , ,2013-05-30,0.0011627856135727477,-0.013937442015827806,-0.03069527327292154,-0.02991256748915505,0.057755101696206124,0.19261067794834208,0.003565954851552533,-0.01319774766027404,0.7868450385431494,-0.02131983522865899,0.03148271444494943,0.18557786626661743
353,FTXG, , ,2016-10-10,0.0,0.0,0.0,0.01599201917616866,0.020654755161562788,0.009185459293718612,0.0014866007748661758,-0.013281111859737016,0.29025357102912697,-0.013359184683447434,0.09767886156468464,0.19983933434699597
354,ICVT, , ,2015-06-04,-0.0032258034744816477,0.0018208821746319437,-0.001051551362012515,-0.014765009535928075,-0.07035098764242143,-0.06100329914064717,-0.004118519433413903,-0.00071568605740846,0.35261905221842826,-0.010804618110175523,-0.03826843955064363,0.010168086271097998
355,HLAL, , ,2019-07-16,-0.0031936098260513246,-0.006808242044796797,-0.002403041822725882,-0.056868277199788375,0.05144478479250636,0.12151814793883453,-0.0024925080408364497,-0.006530694816722082,-0.10689099675358493,-0.053608867964308304,0.03906390826273243,0.07204572144116517
356,IEHS, , ,2018-03-23,0.002047470798703488,0.0,0.0,0.034327804916284954,0.12615222141048732,0.16478727802778526,-0.022950440453319954,0.02649105240024907,0.05001347004435597,0.020031387606848527,0.09307340850224177,0.09188190000148388
357,ISTB, , ,2012-10-24,-1.1102230246251565e-16,-0.0007985763855481443,0.00019931308484233412,0.0014969666102033763,0.0001000096214023305,0.009420941643988767,-0.006325322514689868,0.002281695088387492,1.1378614895762555,-0.002882331533232474,0.12044303267575018,0.295615470973547
358,IAGG, , ,2015-11-12,0.0,0.0,-0.002388057931936194,-0.00019909657072880727,0.02746236981658723,0.04406656651146568,-0.008587514935724294,-0.010724386936013519,0.3901981015484455,-0.013694059651488177,-0.006312629860056429,0.07931311791076934
359,SBIO, , ,2014-12-31,-0.007234202739720974,0.01139331608627292,0.036273564333340724,0.06119400177829171,0.2725954521582161,0.28628365182200954,-0.011638263980743302,-0.0008176628517636564,0.39642389415563883,-0.016518082078563312,0.03016840296971357,0.012721130132776537
360,FRDM, , ,2019-06-14,-0.005140185666423824,-0.003522751078431363,0.04403473228268373,0.04039447722111178,0.04229860711175659,-0.06247613439094046,-0.0017024380202379508,0.0015491743474496111,-0.07012706931379908,0.04116398704542279,0.03925602243841153,0.061537202949983216
361,FTXH, , ,2016-09-22,0.0,0.0,-0.006849690109001605,-0.06115460401072348,-0.08051199723669078,0.0036596183964170415,0.0018603635639355964,-0.005570583865532885,0.282625036244633,-0.017173525611735685,0.057001741848603515,0.16898471690763706
362,ESG, , ,2016-07-14,-0.00019877379095145642,-0.001391604679888303,-0.001391604679888303,0.016504605474575218,-0.0019276326176774772,0.1828407544043411,-0.0007060795985190937,-0.0009420280985493745,0.301454625830079,0.012168132781276153,0.0240480746483116,0.15730891339526254
363,IBHD, , ,2019-05-09,-0.004790376668244889,0.0008021547565686404,-0.0022462372128444485,0.00762123479159782,0.04015667249691535,-0.06072588463855799,0.0058813371496169164,0.004370516523785062,-0.06611809670251112,0.004311312308370452,0.04868138642702924,0.0020831147254081195
364,TAIL, , ,2017-04-06,-0.01029296225360099,-0.0019999436164503948,0.014000003504062386,-0.017599949796342274,-0.0339261729092335,-0.09132351144641804,0.0022992336618681275,-0.0007884274311100725,0.17312350943958843,0.01813651621553425,0.04751159670156424,0.12402583445405702
365,LGLV, , ,2013-02-21,-0.000167841557569548,0.008562636757039721,0.012760056774004491,0.03964089166111173,0.06645826069022331,0.1966949549813568,-0.004447920877588163,0.009271019016220183,0.9745435087244223,0.039875030483844665,0.08384143016345247,0.26045789928039453
366,FLTW, , ,2017-12-18,-0.00020093090575679096,0.0,0.003416938308535844,0.0657286015576648,0.013869201487725968,-0.07469341659752182,0.0011293303442523328,-0.004010965234523156,0.016856700236767885,0.04403419268420339,-0.008956007501761842,-0.044948232094765395
367,XSLV, , ,2013-02-15,0.00039589187613708887,0.0067270911896788466,0.0015827388742422066,0.0325684511112454,0.060185386453277756,0.23389413472040954,-0.0020909258904298067,0.007167847516383663,0.9495016372800247,0.021062924811231287,0.058576160562578306,0.2416659269682404
368,ITEQ, , ,2015-11-03,0.007722863467783059,0.0050960085128477495,-0.010429079802595553,-0.022280230379136068,-0.0965473335981809,-0.03851612466596133,0.004505934696605651,-0.0022428738878831345,0.34988631134904935,-0.024751614647531617,-0.04561605142690173,0.017773784774117285
369,GNMA, , ,2012-02-21,0.0,-0.0001998820919238975,-0.0003999430492545031,-0.0060020970180274524,0.015888882370238555,0.014022242986508449,-0.0029501889154412986,-0.003575505761163944,1.223043770686207,0.02847981822687129,-0.027006893927326137,0.12585200623019865
370,GOAT, , ,2018-10-31,2.220446049250313e-16,0.010903428995849396,0.017523345563403403,0.039330203555102194,0.06628856769163671,0.16055697849177775,-0.00018793873082656454,0.01134148488460518,-8.658381756454503e-06,0.018986139324110862,0.04601153634823496,0.13358867929523166
371,BBJP, , ,2018-06-18,0.0,0.0,-0.015789600677534765,-0.02631600112922461,-0.09676120035614011,-0.07850459772980811,0.005457246939521987,-0.0036185421964131104,-0.029519828674365645,0.01354792243135905,-0.05036964376797015,0.05546834502377296
372,XBUY, , ,2019-01-30,0.008567954088600338,0.012683012475128042,0.023012845479399635,0.10321862066038223,0.04841864891682501,0.1029781208414049,0.008362042180333429,0.008989171180299627,0.004660662887383316,0.05159214735345685,0.08042790550531742,0.2318188103686225
373,ENOR, , ,2012-01-24,-0.013492689832839244,0.016021948991376878,0.01953889088795502,0.12543941735898478,-0.09066038205547744,0.22590917903258778,0.005810910821996362,0.009115113558201493,1.3149448673172008,0.04313759054722821,-0.024610967879500012,0.16493116492667226
